Experience Level,education_level,skill_score,expected_salary_usd,hire
Senior Level,2,99,141103,1
Mid Level,1,87,178064,1
Mid Level,2,40,179043,0
Senior Level,2,70,155330,0
Entry Level,2,79,106374,1
Mid Level,3,94,87095,0
Entry Level,2,35,60296,0
Entry Level,2,40,82552,0
Senior Level,3,88,161803,0
Senior Level,1,83,77387,0
Senior Level,3,5,102453,1
Senior Level,3,15,109528,1
Entry Level,2,45,193357,1
Entry Level,2,10,133999,1
Mid Level,2,46,131114,1
Entry Level,2,99,89339,1
Entry Level,2,40,158160,1
Senior Level,3,54,57163,1
Senior Level,2,57,52998,1
Entry Level,3,59,60202,1
Entry Level,3,73,88219,0
Entry Level,1,73,147847,1
Mid Level,3,55,109416,1
Mid Level,2,27,111345,0
Senior Level,1,43,188630,0
Mid Level,3,99,148633,0
Entry Level,2,91,181346,0
Mid Level,3,61,113829,1
Entry Level,3,12,140757,1
Entry Level,3,27,64197,1
Entry Level,2,3,194526,0
Mid Level,1,17,129585,0
Senior Level,3,55,64662,1
Senior Level,1,86,173002,0
Senior Level,3,1,129668,0
Entry Level,2,20,81040,1
Senior Level,3,27,55229,1
Mid Level,1,1,94765,0
Senior Level,1,29,101217,0
Mid Level,3,6,196618,0
Senior Level,3,41,129260,1
Mid Level,3,0,180913,1
Senior Level,2,42,129732,1
Senior Level,3,42,68529,1
Mid Level,2,74,64216,0
Mid Level,1,13,190569,0
Senior Level,3,63,62389,1
Mid Level,3,24,108851,1
Mid Level,3,83,73067,1
Senior Level,2,16,114676,1
Entry Level,3,54,136185,1
Mid Level,2,2,138784,0
Mid Level,1,39,165313,0
Entry Level,3,42,179533,1
Senior Level,2,52,144148,1
Entry Level,3,53,119754,1
Mid Level,2,54,131155,1
Senior Level,2,58,66686,0
Mid Level,1,44,123571,0
Mid Level,2,41,72035,0
Entry Level,1,31,195219,1
Senior Level,1,84,154382,1
Mid Level,1,99,54317,1
Entry Level,1,73,123539,1
Mid Level,3,37,110588,1
Mid Level,3,94,113114,0
Entry Level,1,17,63249,1
Senior Level,3,58,166719,1
Entry Level,2,33,129128,0
Mid Level,2,57,83570,0
Entry Level,2,95,178678,1
Senior Level,3,24,65272,1
Entry Level,2,69,86192,0
Entry Level,2,57,71493,0
Entry Level,3,27,79835,0
Mid Level,2,12,71005,0
Senior Level,2,83,144970,0
Senior Level,1,66,116787,1
Mid Level,1,44,166367,1
Mid Level,1,63,154115,1
Mid Level,2,85,52232,0
Entry Level,3,34,50361,1
Senior Level,2,17,117447,1
Entry Level,3,55,54215,0
Senior Level,2,84,64285,1
Senior Level,2,68,121985,1
Entry Level,1,32,146256,1
Mid Level,3,85,86207,1
Senior Level,1,94,67516,1
Mid Level,2,23,77121,0
Entry Level,2,38,125138,0
Mid Level,1,9,187535,1
Mid Level,1,74,126161,0
Mid Level,3,5,152518,1
Senior Level,3,100,74239,1
Senior Level,2,60,152677,0
Entry Level,1,40,163398,1
Mid Level,1,98,128298,0
Senior Level,3,32,151840,1
Mid Level,3,98,95425,1
Senior Level,3,50,123176,0
Mid Level,3,41,161177,1
Entry Level,2,35,76257,1
Senior Level,2,85,167959,0
Mid Level,1,26,138152,0
Mid Level,2,2,92679,1
Senior Level,3,15,184671,0
Mid Level,1,84,68473,0
Entry Level,3,26,83685,0
Mid Level,2,65,75858,1
Mid Level,3,10,174024,1
Entry Level,1,30,50552,0
Entry Level,1,42,109108,0
Entry Level,1,38,94307,0
Mid Level,2,35,101285,1
Mid Level,1,98,194696,0
Mid Level,1,72,162327,1
Entry Level,2,20,116492,1
Mid Level,3,59,121235,1
Mid Level,3,55,192402,1
Mid Level,2,50,100121,1
Senior Level,1,30,162108,0
Entry Level,1,74,78306,0
Senior Level,2,88,140852,1
Senior Level,3,63,125182,1
Mid Level,1,88,154259,1
Mid Level,2,21,109598,1
Senior Level,2,80,135922,0
Entry Level,1,70,66086,1
Entry Level,2,73,69262,1
Mid Level,1,23,70584,1
Mid Level,2,47,155300,0
Entry Level,1,70,192035,0
Entry Level,2,10,178304,1
Mid Level,1,31,167449,0
Senior Level,1,4,73907,0
Senior Level,2,37,111504,0
Senior Level,2,30,64950,1
Mid Level,2,0,198665,0
Entry Level,2,11,122115,1
Mid Level,1,42,160775,1
Entry Level,1,3,193821,1
Mid Level,3,59,160021,0
Senior Level,3,9,177696,0
Entry Level,3,69,138249,0
Entry Level,3,63,171337,1
Entry Level,3,17,184893,1
Entry Level,2,88,106845,0
Senior Level,3,49,97442,0
Senior Level,2,36,116254,1
Mid Level,1,0,83249,0
Senior Level,2,39,87154,0
Entry Level,1,21,71814,1
Entry Level,3,33,101312,0
Mid Level,2,58,139253,0
Senior Level,1,75,65432,0
Entry Level,1,97,135247,1
Entry Level,1,23,157737,1
Senior Level,1,95,135604,1
Mid Level,2,69,166959,1
Entry Level,3,35,167555,1
Mid Level,1,67,86548,1
Entry Level,1,81,165945,1
Mid Level,3,31,104183,0
Entry Level,2,47,141705,1
Entry Level,2,67,96853,0
Mid Level,1,52,65401,1
Mid Level,2,97,161261,1
Entry Level,2,49,69818,1
Senior Level,3,64,102052,1
Entry Level,1,79,131230,1
Senior Level,3,20,88456,1
Senior Level,1,53,193851,1
Senior Level,3,3,181060,1
Senior Level,3,12,141645,1
Senior Level,3,33,100942,1
Entry Level,2,93,101902,1
Senior Level,3,23,53515,0
Senior Level,2,75,198187,1
Entry Level,2,74,68776,0
Mid Level,1,48,81401,0
Mid Level,2,70,195555,1
